Sr. No.,Institute Code,Institute Name,Status,Total Intake
196,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner","Un-Aided, Autonomous",1020
197,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar","Un-Aided, Linguistic Minority - Gujar",348
198,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Un-Aided,210
199,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Un-Aided,360
200,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal","Un-Aided, Autonomous, Linguistic Minority - Hindi",360
201,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Un-Aided,360
202,5172,"R. C. Patel Institute of Technology, Shirpur","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",900
203,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Un-Aided, Autonomous, Religious Minority - Jain",480
204,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik","Un-Aided, Autonomous",780
205,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Un-Aided,390
206,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Un-Aided,600
207,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Un-Aided,480
208,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar","Un-Aided, Religious Minority - Christian",138
209,5223,"SMT. SHARCHCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY (ENGINEERING & POLYTECHNIC), CHOPDA",Un-Aided,240
210,5239,JAMIA INSTITUTE OF TECHNOLOGY,"Un-Aided, Religious Minority - Muslim",120
211,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Un-Aided,180
212,5249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",Un-Aided,216
213,5256,Matoshri Aasarabai Institute of Technology and Research Centre,Un-Aided,180
214,5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Un-Aided,180
215,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Un-Aided,360
216,5330,"PUNE VIDYARTHI GRIHAS COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Un-Aided,420
217,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Un-Aided,600
218,5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule","Un-Aided, Religious Minority - Jain",300
219,5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Un-Aided,300
220,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Un-Aided,810
221,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Un-Aided,300
222,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Un-Aided,480
223,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Un-Aided,360
224,5395,Ashok Institute of Engineering & Technology,Un-Aided,180
225,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Un-Aided,120
226,5399,"Sanghavi College of Engineering, Varvandi, Nashik.",Un-Aided,360
227,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Un-Aided,586
228,5408,"Vidya Niketan College of Engineering, Bota Sangamner",Un-Aided,270
229,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Un-Aided,360
230,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.","Un-Aided, Religious Minority - Muslim",240
231,5414,"Nikam Institute of Technology(Polytechnic),Dhule",Un-Aided,300
232,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Un-Aided,480
233,5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur","Un-Aided, Linguistic Minority - Gujarathi",360
234,5497,"P.G. College of Engineering & Technology, Nandurbar",Un-Aided,240
235,5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Un-Aided,240
236,5513,"MKD Institute of Technology, Nadurbar",Un-Aided,180
