Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
118,"New Horizon Institute of Technology & Management, Thane",2–3,Tier 4,3471,https://nhitm.ac.in/
119,Sinhgad Institute of Technology,2–3,Tier 4,6185,http://sit.sinhgad.edu/
120,"Shri Vithal Education and Research Institute, Pandharpur",2–3,Tier 4,6220,https://coe.sveri.ac.in/
121,"Anantrao Pawar College of Engineering & Research, Pune",2–3,Tier 4,6794,https://abmspcoerpune.org/
122,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Baramati",2–3,Tier 4,6275,https://engg.svpm.org.in/
123,"Shivajirao S. Jondhale College of Engineering, Dombivali",2–3,Tier 4,3193,https://shivajiraojondhalecoe.org/
124,"Priyadarshani College of Engineering, Nagpur",2–3,Tier 4,4123,https://pcenagpur.edu.in/
125,"P. R. Pote Patil College of Engineering, Amravati",2–3,Tier 4,1107,https://www.prpotepatilengg.ac.in/
126,"Trinity Academy of Engineering, Yewalewadi",2–3,Tier 4,6634,https://www.kjei.edu.in/trinityacademy/
127,"S K N Sinhgad College of Engineering, Pandharpur",2–3,Tier 4,6643,https://www.sknscoe.ac.in/
128,"Annasaheb Dange College of Engineering, Ashta, Sangli",2–3,Tier 4,6283,https://www.adcet.ac.in/
129,"Pravara Rural College of Engineering, Loni",2–3,Tier 4,5139,https://pravaraengg.org.in/
130,"Bhivarabai Sawant College of Engineering and Research, Narhe",2–3,Tier 4,6649,https://tssm.edu.in/
131,"Sipna College of Engineering & Technology, Amravati",2–3,Tier 4,1114,https://sipnaengg.ac.in/
132,"Pillai HOC College of Engineering & Technology, Raigad",2–3,Tier 4,3223,https://phcet.ac.in/
133,"Government College of Engineering, Chandrapur",2–3,Tier 4,4004,https://www.gcoec.ac.in/gcoec/
134,"ISBM College of Engineering, Pune",2–3,Tier 4,6622,https://www.isbmcoe.org/
135,"VIVA Institute of Technology, Virar",2–3,Tier 4,3221,https://www.viva-technology.org/New/
136,"Dr. D.Y. Patil College of Engineering & Innovation, Talegaon",2–3,Tier 4,6834,https://www.dypcoei.edu.in/
137,"R.H. Sapat College of Engineering, Nashik",2–3,Tier 4,5181,https://ges-coengg.org/
138,"PDEA's College of Engineering, Manjari, Pune",2–3,Tier 4,6206,https://www.pdeacoem.org/
139,"Chhatrapati Shivaji Maharaj Institute of Technology, Panvel",2–3,Tier 4,3477,https://csmit.in/
140,Pravin Rohidas Patil College of Engineering & Technology,2–3,Tier 4,3277,https://prpengineering.in/
141,"Maharashtra Institute of Technology, Aurangabad",2–3,Tier 4,2113,https://mit.asia/
142,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi",2–3,Tier 4,6144,http://www.gsmozecoe.org/
143,"Parvatibai Genba Moze College of Engineering, Wagholi",2–3,Tier 4,6138,https://www.pgmozecoepune.in/
144,"Tatyasaheb Kore Institute of Engineering, Warananagar",2–3,Tier 4,6268,https://www.tkietwarana.ac.in/
145,"Prof Ram Meghe College of Engineering, Badnera",2–3,Tier 4,1128,https://prmceam.ac.in/
146,"St. John College of Engineering & Management, Palghar",2–3,Tier 4,3218,https://sjcem.edu.in/
147,"SVKM's Institute of Technology, Dhule",2–3,Tier 4,5545,https://www.svkm-iot.ac.in/
148,"S.S.P.M.'s College of Engineering, Kankavli",2–3,Tier 4,3206,https://www.sspmcoe.ac.in/
149,"SKN Sinhgad Institute of Technology & Science, Pune",2–3,Tier 4,6770,http://sknsits.sinhgad.edu/
150,"Trinity College of Engineering and Research, Pisoli",2–3,Tier 4,6184,https://www.kjei.edu.in/tcoer/
151,"Mahatma Gandhi Missions College of Engineering, Nanded",2–3,Tier 4,2127,https://mgmcen.ac.in/
152,"Alard College of Engineering and Management, Pune",2–3,Tier 4,6325,https://alardcollegeofengineering.com/
153,"Universal College of Engineering, Palghar",2–3,Tier 4,6625,https://universalcollegeofengineering.edu.in/
154,"Priyadarshini J. L. College of Engineering, Nagpur",2–3,Tier 4,4123,
155,"Nagesh Karajagi Orchid College of Engineering, Solapur",2–3,Tier 4,6223,https://orchidengg.ac.in/
156,"Bajaj Institute of Technology, Wardha",2–3,Tier 4,4649,https://bitwardha.ac.in/
157,"Dr. Babasaheb Ambedkar Technological University, Lonere",2–3,Tier 4,3033,https://dbatu.ac.in/
158,"N. B. Navale Sinhgad College of Engineering, Solapur",2–3,Tier 4,6640,https://www.sinhgadsolapur.org/
159,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",2–3,Tier 4,5161,https://enggnagar.com/
160,"Bharati Vidyapeeth's College of Engineering, Kolhapur",2–3,Tier 4,6288,https://coekolhapur.bharatividyapeeth.edu/
161,"CSMSS Chh. Shahu College of Engineering, Aurangabad",2–3,Tier 4,2533,https://csmssengg.org/
162,"Sandip Institute of Technology, Nashik",2–3,Tier 4,5109,https://sitrc.sandipfoundation.org/
163,"Guru Gobind Singh College of Engineering, Nashik",2–3,Tier 4,5418,https://engg.ggsf.edu.in/
164,"Yadavrao Tasgaonkar Institute of Engineering, Karjat",2–3,Tier 4,3147,https://ytiet.com/
165,"Bharat College of Engineering, Badlapur",2–3,Tier 4,3351,https://bharatenggcollege.com/
166,"Mauli Group of Institutions, Shegaon",2–3,Tier 4,1265,https://mcoet.mauligroup.org/
167,"S. B. Jain Institute of Technology, Nagpur",2–3,Tier 4,4137,https://www.sbjit.edu.in/
168,"M.S. Bidve Engineering College, Latur",2–3,Tier 4,2129,https://www.msbecl.ac.in/
169,"Department of Technology, Shivaji University, Kolhapur",2–3,Tier 4,6028,https://apps.unishivaji.ac.in/
170,"SNJB's Kantabai Bhavarlalji Jain College of Engineering, Nashik",2–3,Tier 4,5173,https://snjb.org/engineering/
171,"Shivajirao S. Jondhale College of Engineering & Technology, Thane",2–3,Tier 4,3217,
172,"Dr. J.J. Magdum College of Engineering, Jaysingpur",2–3,Tier 4,6277,https://www.jjmcoe.ac.in/
173,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon",2–3,Tier 4,6991,https://www.dypatiltcs.com/
174,"Jawaharlal Darda Institute of Engineering, Yavatmal",2–3,Tier 4,1120,https://www.jdiet.ac.in/
175,"Karmaveer Bhaurao Patil College of Engineering, Satara",2–3,Tier 4,6270,https://kbpcoes.edu.in/
176,"MET's Institute of Technology, Nashik",2–3,Tier 4,5244,https://metbhujbalknowledgecity.ac.in/metpoly/
177,"Priyadarshini Bhagwati College of Engineering, Nagpur",2–3,Tier 4,4177,https://www.pbcoe.edu.in/
178,"Watumull Institute of Engineering & Technology, Ulhasnagar",2–3,Tier 4,3212,https://watumull.edu/2024/
179,"Aurangabad College of Engineering, Aurangabad",2–3,Tier 4,2250,https://aurangabadengg.in/
180,"Konkan Gyanpeeth College of Engineering, Karjat",2–3,Tier 4,3198,https://kgce.edu.in/
181,Yashwantrao Bhonsale Institute of Technology,2–3,Tier 4,3470,https://www.ybinstitute.com/
182,"K.J. College of Engineering & Management Research, Pisoli",2–3,Tier 4,6320,https://www.kjei.edu.in/kjcoemr/
183,Sanjay Ghodawat Institute,2–3,Tier 4,6811,https://www.sginstitute.in/
184,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",2–3,Tier 4,3439,https://aiktc.ac.in/
185,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",2–3,Tier 4,6803,https://sgmcoe.com/
186,"K.D.K. College of Engineering, Nagpur",2–3,Tier 4,4147,https://www.kdkce.edu.in/
187,"Shri Hanuman Vyayam Prasarak Mandal's College of Engineering, Amravati",2–3,Tier 4,1121,https://www.hvpmcoet.in/
188,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",2–3,Tier 4,6839,https://coes.dypgroup.edu.in/
189,"Shramsadhana Bombay Trust, College of Engineering, Jalgaon",2–3,Tier 4,5104,https://sscoetjalgaon.ac.in/
190,"Vishwaniketan's iMEET, Khalapur",2–3,Tier 4,3467,https://vishwaniketan.edu.in/
