MHTCET Colleges 

COEP Technological University
Manoharbhai Patel Institute of Engineering & Technology, Bhandara
Mandukarrao Pandav College of Engineering, Bhandara
Everest Education Society Group of Institutions, Ohar
Jaywant College of Engineering & Polytechnic, Sangali
Rajiv Gandhi College of Engineering, Ahmednagar
Phaltan Education Society's College of Engineering, Satara
Shri Sai College of Engineering & Technology, Bhadrawati
Ahinsa Institute of Technology, Dhule
S.B. Patil College of Engineering, Indapur
Bhagwant Institute of Technology, Barshi
Shri. Anandrao Abitkar College of Engineering, Pal
Agnihotri College of Engineering, Sindhi(Meghe)
Shriram Institute of Engineering & Technology, Paniv
Samajbhushan Eknathrao Dhakane College of Engineering, Shevgaon
Shree Tuljabhavani College of Engineering, Tuljapur
Swaminarayan Siddhanta Institute of Technology, Nagpur
Appasaheb Alias Sa.Re.Patil Institute of Technology, Kolhapur
K. T. Patil College of Engineering and Technology, Osmanabad
Mangaldeep College of Engineering
Nagnathappa Halge Engineering College, Parli, Beed
Shri Swami Samarth Institute of Management and Technology, Nashik
Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon
Bharat-Ratna Indira Gandhi College of Engineering, Solapur
MKD Institute of Technology, Nandurbar
R.V. Parankar College of Engineering & Technology, Wardha
Jamia Institute of Engineering And Management Studies, Akkalkuwa
Mitthulalji Sarada Polytechnic, Beed
Abhinav Education Society's College of Engineering, Wadwadi
V M Institute of Engineering and Technology, Nagpur
Sangli Vishveshwarya Technical Campus, Miraj
Late Narayandas Bhawandas Chhabada Institute of Engineering, Satara
Jijau Institute of Engineering Technology and Management, Nanded
Vilasrao Deshmukh College of Engineering and Technology, Nagpur
